Name,Memory,Display,Camera,Battery,Processor,Rating,Price
"Vivo Z1x (Phantom Purple, 64 GB)",6 GB RAM | 64 GB ROM,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4500 mAh Li-ion Battery,Qualcomm Snapdragon 712 AIE Processor,4.4,"₹16,990"
"Vivo Z1x (Fusion Blue, 128 GB)",8 GB RAM | 128 GB ROM,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4500 mAh Li-ion Battery,Qualcomm Snapdragon 712 AIE Processor,4.4,"₹18,990"
"Vivo Z1x (Phantom Purple, 128 GB)",8 GB RAM | 128 GB ROM,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4500 mAh Li-ion Battery,Qualcomm Snapdragon 712 AIE Processor,4.4,"₹18,990"
"OPPO A9 2020 (Marine Green, 128 GB)",4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm SM6125 Processor,4.4,"₹13,990"
"Samsung Galaxy A21s (White, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Lithium-ion Battery,Exynos 850 Octa Core Processor,4.3,"₹16,499"
"Vivo S1 Pro (Dreamy White, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Lithium Polymer Battery,Qualcomm Snapdragon 665 Processor,4.4,"₹19,990"
"Vivo S1 Pro (Mystic Black, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Lithium Polymer Battery,Qualcomm Snapdragon 665 Processor,4.4,"₹19,990"
"Vivo S1 Pro (Jazzy Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,4500 mAh Lithium Polymer Battery,Qualcomm Snapdragon 665 Processor,4.4,"₹19,990"
"Vivo Y15 (Burgundy Red, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP + 8MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio P22 Processor,4.4,"₹12,990"
"Vivo Y15 (Aqua Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP + 8MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio P22 Processor,4.4,"₹12,990"
"Samsung Galaxy A31 (Prism Crush Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 5MP + 5MP | 20MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek (MT6768) Octa Core Processor,4.3,"₹20,999"
"Samsung Galaxy M11 (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) HD+ Display,13MP + 5MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,4.3,"₹12,999"
"Samsung Galaxy A31 (Prism Crush Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 5MP + 5MP | 20MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek (MT6768) Octa Core Processor,4.3,"₹20,999"
"Realme Narzo 10A (So Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,4.5,"₹9,999"
"Redmi Note 8 Pro (Electric Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,4500 mAh Li-polymer Battery,MediaTek Helio G90T Processor,4.4,"₹15,999"
"Redmi K20 Pro (Flame Red, 128 GB)",6 GB RAM | 128 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,4.5,"₹24,999"
"Samsung Galaxy A21s (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Lithium-ion Battery,Exynos 850 Octa Core Processor,4.3,"₹16,499"
"Redmi Note 8 Pro (Halo White, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,4500 mAh Li-polymer Battery,MediaTek Helio G90T Processor,4.4,"₹18,999"
"Motorola One Fusion+ (Twilight Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 5MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 730G Processor,4.5,"₹17,499"
"Realme Narzo 10 (That Green, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G80 (12 nm) Processor,4.5,"₹11,999"
"Realme Narzo 10 (That White, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G80 (12 nm) Processor,4.5,"₹11,999"
"Infinix Hot 9 Pro (Violet, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) HD+ Display,48 MP + 2 MP + 2 MP + Low Light Sensor | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio P22 (64 bit) Processor,4.5,"₹9,999"
"Infinix Hot 9 Pro (Ocean Wave, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) HD+ Display,48 MP + 2 MP + 2 MP + Low Light Sensor | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio P22 (64 bit) Processor,4.5,"₹9,999"
"Vivo U10 (Electric Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Li-ion Battery,Qualcomm Snapdragon 665 AIE Processor,4.4,"₹10,990"
"Infinix Hot 9 (Ocean Wave, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) HD+ Display,13 MP + 2 MP + 2 MP + Low Light Sensor | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio P22 (64 bit) Processor,4.5,"₹8,999"
"Infinix Hot 9 (Violet, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) HD+ Display,13 MP + 2 MP + 2 MP + Low Light Sensor | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio P22 (64 bit) Processor,4.5,"₹8,999"
"Redmi Note 8 Pro (Halo White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,4500 mAh Li-polymer Battery,MediaTek Helio G90T Processor,4.4,"₹16,999"
"Redmi Note 8 Pro (Shadow Black, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,4500 mAh Li-polymer Battery,MediaTek Helio G90T Processor,4.4,"₹15,999"
"Realme 6 (Comet Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,4.4,"₹17,999"
"Vivo Y12 (Burgundy Red, 64 GB)",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP + 8MP | 8MP Front Camera,5000 mAh Battery,MediaTek Helio P22 Processor,4.4,"₹9,900"
"OPPO A31 (Fantasy White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,4.3,"₹14,990"
"OPPO A31 (Mystery Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,4.3,"₹14,990"
"OPPO A31 (Fantasy White, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,4.3,"₹12,490"
"OPPO A31 (Mystery Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,4.3,"₹12,490"
"Vivo Y12 (Aqua Blue, 64 GB)",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP + 8MP | 8MP Front Camera,5000 mAh Battery,MediaTek Helio P22 Processor,4.4,"₹12,599"
"Motorola One Fusion+ (Moonlight White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 5MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 730G Processor,4.5,"₹17,499"
"Motorola G8 Power Lite (Royal Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,16MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio P35 Processor,4.5,"₹9,499"
"Samsung Galaxy M11 (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) HD+ Display,13MP + 5MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,4.3,"₹12,989"
"Vivo Y11 (Mineral Blue, 32 GB)",3 GB RAM | 32 GB ROM,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Battery,SDM439 Processor,4.4,"₹9,990"
"Vivo Y11 (Agate Red, 32 GB)",3 GB RAM | 32 GB ROM,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Battery,SDM439 Processor,4.4,"₹9,990"
"OPPO A12 (Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4230 mAh Battery,MediaTek Helio P35 (MT6765V/CB) Processor,4.4,"₹9,990"
"OPPO A12 (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4230 mAh Battery,MediaTek Helio P35 (MT6765V/CB) Processor,4.4,"₹9,990"
"Realme Narzo 10A (So White, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,4.5,"₹9,999"
"Samsung Galaxy A31 (Prism Crush Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 5MP + 5MP | 20MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek (MT6768) Octa Core Processor,4.3,"₹20,999"
"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 9611 Processor,4.4,"₹25,250"
"Redmi K20 Pro (Flame Red, 128 GB)",6 GB RAM | 128 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,4.5,"₹24,999"
"Apple iPhone SE (Black, 64 GB)",64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)",4.5,"₹42,500"
"Redmi Note 8 Pro (Halo White, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,4500 mAh Li-polymer Battery,MediaTek Helio G90T Processor,4.4,"₹18,999"
"Motorola G8 Power Lite (Arctic Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,16MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio P35 Processor,4.5,"₹9,499"
"Samsung Galaxy A21s (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Lithium-ion Battery,Exynos 850 Octa Core Processor,4.3,"₹16,499"
"Redmi Note 8 Pro (Electric Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,4500 mAh Li-polymer Battery,MediaTek Helio G90T Processor,4.4,"₹16,949"
"Samsung Galaxy A50 (Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,25MP + 5MP + 8MP | 25MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 9610 Processor,4.3,"₹15,499"
"Vivo Y50 (Pearl White, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Display,13MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 665 Processor,4.3,"₹17,990"
"Vivo Y50 (Iris Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Display,13MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 665 Processor,4.3,"₹17,990"
Grabo VIDO,64 MB RAM | 64 MB ROM,4.57 cm (1.8 inch) Quarter QVGA Display,0.3MP Rear Camera,1000 mAh Battery,4,₹529,
"OPPO F15 (Blazing Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4000 mAh Battery,Helio P70 Processor,4.4,"₹18,990"
"OPPO F15 (Unicorn White, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4000 mAh Battery,Helio P70 Processor,4.4,"₹18,990"
"Vivo Z1Pro (Sonic Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 2MP + 8MP | 32MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,4.5,"₹17,990"
"Vivo Z1Pro (Sonic Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 2MP + 8MP | 32MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,4.5,"₹17,990"
"Apple iPhone 11 (Black, 64 GB)",64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,4.7,"₹68,300",
"OPPO A52 (Twilight Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,12MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 665 (SM6125) Processor,4.4,"₹16,990"
"OPPO A52 (Stream White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,12MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 665 (SM6125) Processor,4.4,"₹16,990"
"Samsung Galaxy A31 (Prism Crush White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 5MP + 5MP | 20MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek (MT6768) Octa Core Processor,4.3,"₹20,999"
"Vivo Y91i (Fusion Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,4030 mAh Lithium-ion Battery,MediaTek Helio P22 Processor,4.3,"₹8,990"
"Apple iPhone SE (White, 64 GB)",64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)",4.5,"₹42,500"
"Samsung Galaxy M11 (Metallic Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) HD+ Display,13MP + 5MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,4.3,"₹12,933"
"Motorola One Fusion+ (Twilight Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 5MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 730G Processor,4.5,"₹17,499"
"Realme Narzo 10 (That White, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G80 (12 nm) Processor,4.5,"₹11,999"
"Realme Narzo 10 (That Green, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G80 (12 nm) Processor,4.5,"₹11,999"
"Vivo U10 (Electric Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Li-ion Battery,Qualcomm Snapdragon 665 AIE Processor,4.4,"₹10,990"
"Infinix Hot 9 Pro (Ocean Wave, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) HD+ Display,48 MP + 2 MP + 2 MP + Low Light Sensor | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio P22 (64 bit) Processor,4.5,"₹9,999"
"Infinix Hot 9 Pro (Violet, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) HD+ Display,48 MP + 2 MP + 2 MP + Low Light Sensor | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio P22 (64 bit) Processor,4.5,"₹9,999"
"Infinix Hot 9 (Violet, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) HD+ Display,13 MP + 2 MP + 2 MP + Low Light Sensor | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio P22 (64 bit) Processor,4.5,"₹8,999"
"Infinix Hot 9 (Ocean Wave, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) HD+ Display,13 MP + 2 MP + 2 MP + Low Light Sensor | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio P22 (64 bit) Processor,4.5,"₹8,999"
"Redmi Note 8 Pro (Halo White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,4500 mAh Li-polymer Battery,MediaTek Helio G90T Processor,4.4,"₹16,999"
"Motorola One Fusion+ (Moonlight White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 5MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 730G Processor,4.5,"₹17,499"
"Redmi Note 8 Pro (Shadow Black, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,4500 mAh Li-polymer Battery,MediaTek Helio G90T Processor,4.4,"₹15,999"
"Vivo Y12 (Burgundy Red, 64 GB)",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP + 8MP | 8MP Front Camera,5000 mAh Battery,MediaTek Helio P22 Processor,4.4,"₹9,900"
"Vivo Y12 (Aqua Blue, 64 GB)",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP + 8MP | 8MP Front Camera,5000 mAh Battery,MediaTek Helio P22 Processor,4.4,"₹12,599"
"OPPO A31 (Fantasy White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,4.3,"₹14,990"
"OPPO A31 (Mystery Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,4.3,"₹14,990"
"OPPO A31 (Fantasy White, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,4.3,"₹12,490"
"OPPO A31 (Mystery Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,4.3,"₹12,490"
"Samsung Galaxy M11 (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) HD+ Display,13MP + 5MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,4.3,"₹10,999"
"Motorola G8 Power Lite (Royal Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,16MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio P35 Processor,4.5,"₹9,499"
"Motorola G8 Power Lite (Arctic Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,16MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio P35 Processor,4.5,"₹9,499"
"OPPO A12 (Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4230 mAh Battery,MediaTek Helio P35 (MT6765V/CB) Processor,4.4,"₹9,990"
"Asus ROG Phone II (Black, 128 GB)",8 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Full HD+ Display,48MP + 13MP | 24MP Front Camera,6000 mAh Battery,Qualcomm Snapdragon 855 Plus Processor,4.6,"₹39,999"
"OPPO A12 (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4230 mAh Battery,MediaTek Helio P35 (MT6765V/CB) Processor,4.4,"₹9,990"
"Vivo Y11 (Mineral Blue, 32 GB)",3 GB RAM | 32 GB ROM,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Battery,SDM439 Processor,4.4,"₹9,990"
"Asus ROG Phone II (Black, 128 GB)",8 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Full HD+ Display,48MP + 13MP | 24MP Front Camera,6000 mAh Battery,Qualcomm Snapdragon 855 Plus Processor,4.6,"₹39,999"
"OPPO A12 (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4230 mAh Battery,MediaTek Helio P35 (MT6765V/CB) Processor,4.4,"₹9,990"
"Redmi Note 8 Pro (Halo White, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,4500 mAh Li-polymer Battery,MediaTek Helio G90T Processor,4.4,"₹16,999"
